seed,method,Dr_subset_size,acc_forget,acc_retain
12,amnesiac,0.5,0.84,0.93
12,amnesiac,0.4,0.79,0.91
12,amnesiac,0.3,0.74,0.86
12,amnesiac,0.2,0.62,0.77
12,amnesiac,0.1,0.42,0.54
12,amnesiac,0,0.1,0.13
12,neggrad,1,0.99,0.99
12,neggrad,0.9,0.99,0.99
12,neggrad,0.8,0.99,0.99
12,neggrad,0.7,0.99,0.98
12,neggrad,0.6,0.99,0.98
12,neggrad,0.5,0.99,0.98
12,neggrad,0.4,0.99,0.98
12,neggrad,0.3,0.99,0.98
12,neggrad,0.2,0.99,0.98
12,neggrad,0.1,0.99,0.97
12,neggrad,0,0.99,0.96
12,finetune,1,0.97,0.99
12,finetune,0.9,0.97,0.99
12,finetune,0.8,0.97,0.99
12,finetune,0.7,0.97,0.98
12,finetune,0.6,0.97,0.98
12,finetune,0.5,0.96,0.98
12,finetune,0.4,0.96,0.98
12,finetune,0.3,0.96,0.98
12,finetune,0.2,0.95,0.97
12,finetune,0.1,0.94,0.96
12,finetune,0,0.93,0.94
